poem,distance
Иванов В.И._В-черной-воспаленной-тишине_Х5ммж,12.413060756528383
Ушаков Н.Н._Промелькнет-снежинка-/-в-небе-тая._Х5жм,12.415285849650605
Корнилов Б.П._Ты-как-рыба-выплываешь-с-этого_Х5дм,12.415764531757526
Брюсов В.Я._Мимо-стен-таинственного-Рая_Х5жм,12.430305652660557
Зарудин Н.Н._Накипь-звезд-светлеет.-Чище-строже_Х5жм,12.431616215335444
Кузьмина-Караваева Е.Ю._Ты-серебряная-птица-Голубь_Х5жм,12.438033331270205
Меркурьева В.А._Хроменькая-ноженьки-не-крепки---_Х5жм,12.439060463229955
Шилейко В.К._На-сердце-опять-захолонуло_Х5ж,12.43946758096879
"Дряхлов В.Ф._Хочется-сказать-светлейшие-слова_Х5мж; Х4,6ж,м",12.448621950026082
Скрябина Ариадна_Мягкостью-своих-прикосновений_Х5ж,12.484878137738736
Гумилев Н.С._Только-змеи-сбрасывают-кожи_Х5жм,12.487394596550494
Кленовский Д.И._Снова-ночь-и-снова-сердце-плачет_Х5жм,12.491560928755549
Мариенгоф А.Б._Это-был-урок-урок-суровый_Х5ж; Х6ж,12.499229424017733
Лермонтов М. Ю._Ночевала-тучка-золотая_Х5ж,12.500538868048762
Иванов Г.В._Мы-живем-на-круглой-или-плоской_Х5жм,12.523068963700995
Бенар Н.В._Лишь-одно-из-груды-недомолвок_Х5жм; Х6м,12.525208768367065
Сартовский Г.Г._Мне-так-страстно-хочется-в-Россию_Х5жм; Х6ж,12.530759672880112
"Введенский А.И._три-угла-четыре-колокольни_Х5ж,м; Х3ж",12.536196038913147
Случевский К.К._Дети-спят.-Замолкнул-город-шумный_Х5жм,12.564714866625295
Крузенштерн-Петерец Ю._Жизнь-спокойней.-Жизнь-как-будто-соннее_Х5дм,12.56701819007877
"Поплавский Б.Ю._В-серый-день-лоснится-мокрый-город_Х5ж,м",12.584028939917845
Мандельштам О.Э._Умывался-ночью-на-дворе._Х5мж,12.587673934276857
"Шаламов В.Т._Где-же-детское-пережитое_Х5жм; Х4,6м",12.59310313383386
Присманова А.С._Ветеp-бьет-на-чеpдаке-двеpьми_Х5мж,12.593397600173859
Адалис А.Е._Теплоход-пришел-перед-рассветом._Х5жм,12.593921625619325
Рождественский В.А._Ты-не-любишь.-Ты-не-веришь-тайне._Х5жм,12.614213394282887
Апухтин А.Н._Посреди-гнетущих-и-послушных_Х5жм,12.614267109744931
Гумилев Н.С._Я-служил-пять-лет-у-богача_Х5м,12.617459061505809
Кузьмина-Караваева Е.Ю._Господи-Ты-видишь----нищета_Х5м,12.62582239342042
Антокольский П.Г._Вова!-Я-не-опоздал-ты-слышишь?_Х5жм,12.641195169767524
Кирсанов С.И._Не-за-жизнь-цепляюсь----за-тебя._Х5мж,12.645618118759685
Петров С.В._К-нам-слетит-бессмертная-порука_Х5жм,12.647986401764548
Хвощинская Н.Д._Не-могу-я-приняться-за-дело;_Х5жм,12.649368816022672
Некрасов Н.А._Равнодушно-слушая-проклятья_Х5жм; Х4м,12.660477635927695
Петров С.В._Астроном-стремится-за-Альголем_Х5жм; Х4м,12.661705322388679
Семенов Г.С._Как-вонзались-молнии-в-глаза!_Х5мж,12.669875887174424
Гумилев Н.С._Сон-меня-сегодня-не-разнежил_Х5жм,12.673355927112269
Ахматова А.А._Первый-луч----благословенье-Бога---_Х5жм,12.679692816438136
Бунин И.А._Осень-листья-темной-краской-метит:_Х5жм,12.70510170834861
Эренбург И.Г._Стали-сны-единой-достоверностью._Х5дм; Х6д,12.717073632135486
Киссин С.В._Вы-опять-подкрались-незаметно_Х5жм; Х6м,12.734190894985211
Петров С.В._Будто-лепка-мудрых-детских-рук_Х5м,12.74424294873261
Мандельштам О.Э._Образ-твой-мучительный-и-зыбкий_Х5жм,12.74661509906734
"Рафальский С.М._Много-дум-просеяно-сквозь-сито_Х5жм; Х6ж,м",12.749273609362206
Семенов Г.С._Тараканы-сделаны-из-жести_Х5жм,12.755796777648191
Прокофьев А.А._Нам-обидно-слышать-злые-речи---_Х5жм,12.770411438929136
Васильев П.Н._Не-смущайся-месяцем-раскосым_Х5жм,12.774412381075985
Берггольц О.Ф._Это-всё-неправда.-Ты-любим._Х5м,12.77717575186294
Лесная И._Каждый-день-несет-свои-заботы._Х5жм,12.781640155901028
Рождественский В.А._Мы-с-тобой-когда-нибудь-поедем_Х5жм,12.806572489396311
Барт (Копельман) С.В._Чем-темней-чем-глуше-на-кладбище_Х5жм; Х6м,12.80927719430033
"Андреев Д.Л._Где-не-мчался-ни-один-наездник_Х5ж,м",12.811192205658752
Соловьев С.М._Помнишь-ночь?-Зари-дрожало-пламя_Х5жм,12.813710436044191
"Саянов В.М._Много-было-громких-песен-токмо_Х5ж,м",12.816818004745587
